"canonical_form_id","court_type","catalogue_form_number","catalogue_official_title","catalogue_procedure_stage","research_status","research_reason","official_form_number","official_title","official_source_url","form_issuing_body","official_version_date","official_effective_from","checked_at","governing_authority_citation","governing_authority_pinpoint","procedural_applicability_status","source_http_status","resume_state","procedural_classification","minimum_new_form_applicability_fact"
"288eb910-b3c4-4389-8865-447d8006b3fc","civil","Form 14B","Statement of Claim (Mortgage Action - Foreclosure)","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","14B","Statement of Claim (Mortgage Action - Foreclosure)","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/14b/","Ontario Ministry of the Attorney General, Ontario Court Services","June 9, 2014","Jan. 1, 2015","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"2db1df05-7208-4335-9cde-827f55a3c596","civil","Form 14D","Statement of Claim (Action Commenced by Notice of Action)","starting-case","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","14D","Statement of Claim (Action Commenced by Notice of Action)","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/14d/","Ontario Ministry of the Attorney General, Ontario Court Services","July 1, 2007","July 1, 2008","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"b0c7dac1-a753-44ca-a7a0-d0eaf0dd616f","civil","Form 14E","1 Notice of Application under Subsection 140(3) of the Courts of Justice Act","starting-case","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/14e/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"fa7b803d-d4a4-4503-bc1e-6593cafe28dd","civil","Form 14E","Notice of Application","starting-case","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/14e/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"14027a79-2f28-4df2-9627-6bb31cdce897","civil","Form 16B","1 Lawyer's Certificate of Service","already-started","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/16b/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"5bbcf179-f4ef-40ed-a3e2-05e1a4b086a7","civil","Form 16C","Certificate of Service by Sheriff","already-started","verified-catalogue-source","Official Ontario Court Forms page number and title match the active canonical catalogue record.","16C","Certificate of Service by Sheriff","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/16c/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required.","200","complete-catalogue-provenance","insufficient-official-rule-support",""
"7988836d-cec8-4a2e-9352-5cbd4b8dc79a","civil","Form 17A","Request for Service Abroad of Judicial or Extrajudicial Documents","already-started","ambiguous-official-identity","Official page form number matched, but the page title does not exactly match the catalogue title.","17A","Request for Service Abroad of Judicial or Extrajudicial","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/17a/","Ontario Ministry of the Attorney General, Ontario Court Services","Nov. 1, 2005","July 1, 2006","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","200","needs-manual-official-page-resolution","",""
"7e43e311-b120-4803-acf0-4d19cfc75b64","civil","Form 2","1B Notice That Proceeding (or Motion)","motion","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/2/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"113cb89d-3d82-4e39-bbbe-7932c0eea140","civil","Form 2","2A Notice of Motion for Vexatious Litigant Order","motion","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/2/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
"1fea3b12-f2ba-4e6f-9a39-d4fd428ce105","civil","Form 2","2B Notice of Application for Vexatious Litigant Order","starting-case","unavailable-official-page","No current official page was returned at the deterministic official-form URL; do not infer an alternate source.","","","https://ontariocourtforms.on.ca/en/rules-of-civil-procedure-forms/2/","","","","2026-08-11","","","review-required—no rule/applicability certification in provenance pass","404","needs-manual-official-page-resolution","",""
