canonical_form_id,court_type,form_number,current_title,current_stage,official_identity_status,official_form_url,official_title,revision_or_effective_at,official_rule_url,rule_pinpoint,required_future_posture_fact,blocker_reason,checked_at
a48e2d14-0d7d-47fe-bed4-3c2f04b64652,family,Form 28,Continuing Record / Trial Record Form,trial,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/28/,Writ of Seizure and Sale,"Version Apr. 12 2016; effective July 1 2016",,,,The live title/stage conflicts with the official Form 28 identity; catalogue repair and exact enforcement context are required.,2026-08-12
40cf81b9-29a4-428c-b2a9-929c5d4e4309,family,Form 28A,Continuing Record / Trial Record Form,trial,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/28a/,Request for Writ of Seizure and Sale,"Version Sept. 1 2005; effective May 1 2006",,,,The live title/stage conflicts with the official Form 28A identity; catalogue repair and exact enforcement context are required.,2026-08-12
a16a99a6-1cd8-48d5-be40-782b988e3153,family,Form 28C,Continuing Record / Trial Record Form,trial,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/28c/,Writ of Temporary Seizure,"Version Sept. 1 2005; effective May 1 2006",,,,The live title/stage conflicts with the official Form 28C identity; catalogue repair and court-order context are required.,2026-08-12
2c08c7df-f2d2-4ff2-8306-19db998c9c54,family,Form 31,Contempt Motion,motion,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/31/,Notice of Contempt Motion,"Version Sept. 1 2005; effective May 1 2006",https://www.ontario.ca/laws/regulation/990114,Rule 31,No safe generic posture fact established,Contempt is court-controlled and fact/evidence/remedy dependent; no routing boundary is certified.,2026-08-12
85a40ed6-2ff2-4340-8dcc-84fba5fa7986,family,Form 32,1A Dispute of Request for Enforcement,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/321a/,Dispute of Request for Enforcement,"Version Oct. 1 2012; effective Jan. 1 2013",https://www.ontario.ca/laws/regulation/990114,Rule 32.1,No safe posture fact until Form 32.1A metadata is repaired,Stored number/title are malformed; the form is tied to a family-arbitration award enforcement request and its response conditions.,2026-08-12
c51b3a08-0498-486b-8f3b-cfdc1f673ae3,family,Form 33B,1 Answer and plan of care (parties other than Children’s Aid Society),responding,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/33b1/,Answer and plan of care (parties other than Children’s Aid Society),"Version Dec. 1 2020; effective March 1 2021",https://www.ontario.ca/laws/regulation/990114,Rule 33,No safe posture fact until Form 33B.1 metadata is repaired,Stored form number is malformed and this is a Child Youth and Family Services Act posture requiring specialized applicability facts.,2026-08-12
4e2e7d7b-bd3e-4cd7-8732-8f5e0d92e625,family,Form 33B.2,Answer (Child, Youth and Family Services Act, 2017 cases other than child protection and status review),responding,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/33b2-1/,Answer (Child, Youth and Family Services Act, 2017 cases other than child protection and status review),"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,Rule 33,No safe generic posture fact established,The official identity is clear but the governed Child Youth and Family Services Act case type and response facts are outside the current generic routing boundary.,2026-08-12
741f4467-7e77-4864-ba92-cdb6afcc7ca7,family,Form 34L,Application for openness order,starting-case,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/34l-1/,Application for openness order,"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,Rule 34,No safe generic posture fact established,The form is statutory child-services/adoption-specific; no narrow user-facing routing boundary is proven.,2026-08-12
412144d0-4ba3-4318-ab1e-96072c622125,family,Form 34M,Consent to openness order under s. 194 of the Child Youth and Family Services Act 2017,already-started,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/34m-1/,Consent to openness order under s. 194 of the Child Youth and Family Services Act 2017,"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,Rule 34,No safe generic posture fact established,Consent and statutory eligibility cannot be certified from a generic answer.,2026-08-12
fbef45d4-0e43-4b62-969b-01fa11844d22,family,Form 34M.1,Consent to openness order under s. 196 or 197 of the Child Youth and Family Services Act 2017,already-started,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/34m1-1/,Consent to openness order under s. 196 or 197 of the Child Youth and Family Services Act 2017,"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,Rule 34,No safe generic posture fact established,Consent and statutory eligibility cannot be certified from a generic answer.,2026-08-12
df9bdd7a-3858-478e-be28-8888c0926b9e,family,Form 34N,Application to change or terminate openness order,starting-case,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/34n-1/,Application to change or terminate openness order,"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,Rule 34,No safe generic posture fact established,Existing-order status and statutory eligibility require specialized factual and legal assessment.,2026-08-12
