O. Reg. 114/99 (Family Law Rules) â€” TABLE OF FORMS
Source: https://www.ontario.ca/laws/docs/990114_e.doc
Consolidation period: from 2026-05-01 to the e-Laws currency date
Extracted with antiword, 2026-09-13. Verbatim block, unedited below this line.
----------------------------------------------------------------------
                               TABLE OF FORMS

|FORM NUMBER |FORM TITLE                                    |DATE OF FORM     |
|4           |NOTICE OF CHANGE IN REPRESENTATION            |JUNE 13, 2025    |
|6           |ACKNOWLEDGMENT OF SERVICE                     |SEPTEMBER 1, 2005|
|6A          |ADVERTISEMENT                                 |MARCH 19, 2015   |
|6B          |AFFIDAVIT OF SERVICE                          |APRIL 12, 2016   |
|6C          |LAWYER OR PARALEGAL'S CERTIFICATE OF SERVICE  |APRIL 1, 2023    |
|8           |APPLICATION (GENERAL)                         |JUNE 13, 2025    |
|8.0.1       |AUTOMATIC ORDER                               |SEPTEMBER 1, 2021|
|8A          |APPLICATION (DIVORCE)                         |APRIL 1, 2024    |
|8B          |APPLICATION (CHILD PROTECTION AND STATUS      |FEBRUARY 1, 2022 |
|            |REVIEW)                                       |                 |
|8B.1        |APPLICATION (STATUS REVIEW FOR CHILD IN       |MARCH 1, 2018    |
|            |EXTENDED SOCIETY CARE AND CHILD FORMERLY IN   |                 |
|            |EXTENDED SOCIETY CARE)                        |                 |
|8B.2        |APPLICATION (GENERAL) (CHILD, YOUTH AND FAMILY|MARCH 1, 2018    |
|            |SERVICES ACT, 2017 CASES OTHER THAN CHILD     |                 |
|            |PROTECTION AND STATUS REVIEW)                 |                 |
|8C          |APPLICATION (SECURE TREATMENT)                |MARCH 1, 2018    |
|8D          |APPLICATION (ADOPTION)                        |MAY 26, 2025     |
|8D.1        |APPLICATION (DISPENSE WITH PARENT'S CONSENT TO|NOVEMBER 1, 2018 |
|            |ADOPTION BEFORE PLACEMENT)                    |                 |
|8D.2        |NOTICE OF INTENTION TO PLACE CHILD(REN) FOR   |MARCH 1, 2018    |
|            |ADOPTION                                      |                 |
|8D.3        |NOTICE OF INTENTION TO PLACE FIRST NATIONS,   |MARCH 1, 2018    |
|            |INUK OR MÉTIS CHILD FOR ADOPTION              |                 |
|8D.4        |REVOKED:  O. REG. 298/18, S. 23 (2)                              |
